Name & Organization,Attachments,Document Title,Description,Technical Area,Indicator,Document Type,Author,Publication Date,WHO-Approved Doc: Check here if this document peer reviewed or from the WHO or CDC,Status,Relevant Pages,Lead Approval Req: Check here if this document requires approval from another lead agency,Thumbnail Image
Kayode Fasominu,WHO-2019-nCoV-Adjusting_PH_measures-Mass_gatherings-2020_1-eng.pdf (https://dl.airtable.com/.attachments/bf28a04c10830fce0c67418af4c35485/7887a192/WHO-2019-nCoV-Adjusting_PH_measures-Mass_gatherings-2020_1-eng.pdf),Considerations for mass gatherings in the context of COVID-19,The purpose of this annex is to provide key considerations to health authorities and event organizers for reopening mass gatherings (MG); it should be read in conjunction with the interim guidance,Emergency Response Operations,"""12.1 Provide key potential informants and response partners for health emergency operations that can have 24/7 coverage in all
major health systems.""",Guideline,World Health Organization,2020,checked,,All,checked,
Kayode Fasominu,WHO-2019-nCoV-Advisory-Preparedness-2020_1-eng.pdf (https://dl.airtable.com/.attachments/1ca6af02af4f6c73ee818ebc8fcff66b/ec37ba33/WHO-2019-nCoV-Advisory-Preparedness-2020_1-eng.pdf),"Preparedness for cyclones, tropical storms, tornadoes, floods and earthquakes during the COVID-19 pandemic","This WHO health advisory provides guidance to countries on
adapting all existing preparedness and response plans and
procedures for cyclones, tropical storms, tornadoes, floods,
earthquakes and potential outbreaks of other diseases to their
COVID-19 strategic preparedness and response plans (SPRPs).",Emergency Preparedness,"11.2 Identify key measures for all sectors to strengthen emergency preparedness for priority risks at the national level.,11.2 Review current health sector multihazard emergency response plans and other response plans for specific hazards.,""11.2 Conduct a national level simulation exercise to test the multi hazard response plan and adjust the plan based on the
outcomes of the simulation or complete an after-action review of an actual event."",""11.2 Assess the need for additional emergency preparedness measures, including policies, procedures, SOPs and financial
mechanisms, required to strengthen emergency preparedness."",""11.2 Conduct simulations or after-action reviews at national and subnational levels to test the multihazard response plan with
a focus on coordination and communication between the national and subnational levels of government and sectors; and
adjust plans based on outcomes.""",Guideline,World Health Organization,2020,checked,,All,checked,
Kayode Fasominu,WHO-2019-nCoV-Emergency_Preparedness-Long_term-2020_1-eng.pdf (https://dl.airtable.com/.attachments/d869dca54b17231bbdfd3ac8841d51d7/1e95afe5/WHO-2019-nCoV-Emergency_Preparedness-Long_term-2020_1-eng.pdf),Investing in and building longer-term health emergency preparedness during the COVID-19 pandemic,"This guidance supplements the COVID-19 SPRP, the strategy update and the operational planning guidelines. Its aim is to help multisectoral decision-makers and policy-makers in Member States to ‘build back better’ by undertaking the following: build on actions taken as part of their COVID-19 SPRP to improve national medium- to long-term preparedness for future all-hazards; locate relevant supporting WHO resources that are not specific to COVID-19 but can help build sustainable capacities; and advocate for the conscious and effective allocation of COVID-19 funds to meet these longer-term needs, including their obligations under the International Health Regulations 2005 (IHR 2005). The guidance should also help partners and other stakeholders to support Member States in these efforts to build sustainable capacities for longer-term preparedness.
",Emergency Preparedness,"""11.2 Develop a mechanism to ensure that dedicated resources are in place for testing and implementation of multisectoral,
multihazard emergency response plans, contingency plans and SOPs at national and subnational levels including an
emergency financing mechanism for emergency response."",""11.2 Review and update current multisectoral multihazard emergency response plans and other response plans for specific
hazards at the national level."",11.2 Develop or update the national health sector multihazard emergency response plan.",Guideline,World Health Organization,2020,checked,,All,checked,
Kayode Fasominu,WHO-2019-nCoV-ActionsforPreparedness-Checklist-2020_1-eng.pdf (https://dl.airtable.com/.attachments/011da07c0e2dec8b845c5ab7ac3e0376/cc19eb55/WHO-2019-nCoV-ActionsforPreparedness-Checklist-2020_1-eng.pdf),Practical actions in cities to strengthen preparedness for the COVID-19 pandemic and beyond,"This document accompanies the interim guidance on “Strengthening Preparedness for COVID-19 in cities and urban settings”. It provides local authorities, leaders and policy-makers in cities with a checklist tool to ensure that key areas have been covered. An excel version that local authorities may wish to adapt to meet their needs is also available. It allows filtering by steps of action; suggested domains and responsible teams within local governments for each action; and phase(s) of the emergency management cycle.",Emergency Preparedness,"""11.2 Map key stakeholders and ministries involved in multihazard emergency preparedness and response including human,
animal (domestic and wildlife) and environmental health sectors, meteorology, border control, food and drug agency,
military, private agricultural sector, emergency services, defence, transport, media and finance."",""11.2 Assess the need for additional emergency preparedness measures, including policies, procedures, SOPs and financial
mechanisms, required to strengthen emergency preparedness."",""11.2 Review and update current multisectoral multihazard emergency response plans and other response plans for specific
hazards at the national level."",""11.2 Develop a mechanism to ensure that dedicated resources are in place for testing and implementation of multisectoral,
multihazard emergency response plans, contingency plans and SOPs at national and subnational levels including an
emergency financing mechanism for emergency response.""",Guideline,World Health Organization,2020,checked,,All,checked,
Kayode Fasominu,EN_TripartiteZoonosesGuide_webversion.pdf (https://dl.airtable.com/.attachments/d96f975235197ff2ce69e1f12d3e4c43/4d5d1a3a/EN_TripartiteZoonosesGuide_webversion.pdf),A Tripartite Guide to Addressing Zoonotic Diseases in countries (TZG),"The Tripartite Zoonoses Guide (TZG) has been jointly developed by the FAO, OIE, and WHO to support countries in taking a multisectoral, One Health approach to address zoonotic diseases. It provides principles, best practices and options to assist countries in achieving sustainable and functional collaboration at the human-animal-environment interface.","""IHR Coordination, Communication and Advocacy, and Reporting"",Zoonotic Disease","""2.2 Conduct a stakeholder analysis and establish a multisectoral coordination mechanism that meets regularly to discuss
and promote IHR issues (develop a protocol, terms of reference and identify resources needed for the mechanism)."",""2.2 Update or review the coordination mechanism to address zoonoses and other existing or new health events at
the human�animal interface."",2.2 Document and share best practices.,""4.1 Identify key stakeholders and focal points from animal health (domestic animals and wildlife), human health, environmental
health and other key sectors."",""4.1 Jointly define and prioritize zoonotic diseases of greatest national public health concern for the country through a One
Health approach that involves all relevant stakeholders."",""4.1 Develop strategy, guidelines and SOPs for coordinated surveillance and reporting of at least two priority zoonotic diseases
of greatest national public health concern."",""4.2 Develop a multisectoral One Health operational plan, with the provision of resources, for a coordinated response to an
outbreak of at least two priority zoonotic diseases by all relevant sectors."",4.1 Use coordinated surveillance data to inform disease prevention and control efforts across all relevant sectors.,""4.1 Establish animal�human interfaces and procedures to exchange surveillance information on zoonotic diseases among
relevant sectors (and wider when needed), ideally through an electronic system."",""4.2 Train staff of human, animal (domestic animals and wildlife), and environmental health sectors on these guidelines, SOPs
and operation plan."",4.2 Monitor and evaluate the multisectoral coordination mechanism for cresponse regularly.",Guideline,"World Health Organization, FAO, OIE",2019,checked,,All,checked,
Kayode Fasominu,EN_Guide_de_Communication_FINAL.pdf (https://dl.airtable.com/.attachments/e3a58cf89964d8a28ef226e7b684ccce/cc431644/EN_Guide_de_Communication_FINAL.pdf),OIE’s Communication handbook for Veterinary Services,"This handbook supports veterinary services personnel to collaborate with key stakeholders and concerned publics especially in terms of engaging health professionals, farmers, civil society, communities, media and others who are largely unfamiliar with the scientific knowledge of the world of animal health.","Zoonotic Disease,Risk Communication","""4.2 Establish a communication mechanism for rapidly alerting all relevant sectors to priority zoonotic outbreak events to
increase sector awareness and decrease the time to conduct a coordinated outbreak response."",""4.2 Develop guidelines and SOPs for coordinated response to zoonotic events and more widely for the management of priority
zoonotic diseases by all relevant sectors."",""4.2 Develop a multisectoral One Health operational plan, with the provision of resources, for a coordinated response to an
outbreak of at least two priority zoonotic diseases by all relevant sectors."",""15.2 Identify ministries, organizations and key stakeholders involved in risk communication and community engagement."",""15.2 Develop a platform or mechanism for regular information sharing with relevant sectors including ministries, partners and
other stakeholders."",15.2 Update action plans with relevant stakeholders with clearly defined roles and provision of resources.,""15.2 Establish a regular risk communication coordination mechanism between relevant key stakeholders at national and
subnational levels."",""15.2 Assess performance of the coordination mechanism regularly through simulation exercises or after-action reviews and
share results with partners."",15.2 Maintain a regular coordination mechanism.",Guideline,OIE,2015,checked,,All,checked,
Kayode Fasominu,ba0137e.pdf (https://dl.airtable.com/.attachments/d6ad94baa8e8b4de688a984619c1a6b1/ba5c7432/ba0137e.pdf),FAO’s Good Emergency Practice (GEMP),The aim of this manual is to set out in a systematic way the elements required to achieve control of transboundary animal diseases (TADs). ,Zoonotic Disease,"""4.2 Develop guidelines and SOPs for coordinated response to zoonotic events and more widely for the management of priority
zoonotic diseases by all relevant sectors."",""4.2 Train staff of human, animal (domestic animals and wildlife), and environmental health sectors on these guidelines, SOPs
and operation plan."",4.2 Ensure that access to laboratory capacity to detect pathogens for any priority zoonoses is included in the response plans.,4.2 Develop and disseminate training packages on these guidelines and SOPs.,""4.2 Regularly analyse and produce reports on the timeliness of information exchange and activation of response mechanisms
between sectors."",4.2 Develop next steps for improving response timelines.,""4.2 Conduct after-action reviews and/or simulation exercises to test the operationality of the response to zoonotic diseases
events across all relevant sectors.""",Guideline,OIE,2011,checked,,All,checked,
Kayode Fasominu,NBW Participant Handbook v5.pdf (https://dl.airtable.com/.attachments/038d7b3ccbcbc9f848a1e9826dfdd383/e2d8eae6/NBWParticipantHandbookv5.pdf),IHR-PVS National Bridging Workshop,"The main objective of the NBW is to provide an opportunity to human and animal health services of hosting countries to review their current collaboration gaps in key technical areas and to develop a joint road-map of corrective measures and strategic investments to improve the work at the animal-human interface in the prevention, detection and control of zoonotic diseases.","""IHR Coordination, Communication and Advocacy, and Reporting"",Zoonotic Disease","""2.2 Conduct a stakeholder analysis and establish a multisectoral coordination mechanism that meets regularly to discuss
and promote IHR issues (develop a protocol, terms of reference and identify resources needed for the mechanism)."",""2.2 Document and disseminate evidence that the coordination mechanism is working to address zoonoses and other existing
or new health events at the human�animal interface."",""2.2 Update or review the coordination mechanism to address zoonoses and other existing or new health events at
the human�animal interface."",""2.2 Conduct regular multisectoral coordination meetings and ensure that the outcomes of these meetings are disseminated to
the external and internal audience, well documented and acted upon."",""4.1 Establish animal�human interfaces and procedures to exchange surveillance information on zoonotic diseases among
relevant sectors (and wider when needed), ideally through an electronic system."",""4.1 Review and assess surveillance capacity in each sector and any existing coordination or data sharing mechanism between
the relevant sectors."",""4.1 Jointly define and prioritize zoonotic diseases of greatest national public health concern for the country through a One
Health approach that involves all relevant stakeholders."",""4.1 Identify key stakeholders and focal points from animal health (domestic animals and wildlife), human health, environmental
health and other key sectors."",""4.2 Review and assess existing multisectoral policy, strategy, plan and/or mechanism for responding to priority zoonotic events."",""4.2 Develop a multisectoral One Health operational plan, with the provision of resources, for a coordinated response to an
outbreak of at least two priority zoonotic diseases by all relevant sectors."",4.2 Document and disseminate the results and lessons learned from efforts to minimize animal-to-human spread of disease.",Tool,"OIE, World Health Organization",NA,checked,,All,checked,
Kayode Fasominu,2019_PVS_Tool_FINAL.pdf (https://dl.airtable.com/.attachments/2220b2ed32ff43deed10746d2b146465/e1b3316a/2019_PVS_Tool_FINAL.pdf),OIE Performance of Veterinary Services (PVS) Evaluation tool,"The PVS Evaluation comprises a 2-6 week mission which delivers a thorough, qualitative assessment of the performance of a country’s Veterinary Services and their compliance with OIE international Standards. It is an external evaluation conducted by a group of OIE trained and certified experts which collect and analyse baseline information and evidence collated during the mission, including an extensive field component. The mission uses the proven OIE PVS Tool, where 45 Critical Competencies are systematically evaluated via documentation reviews, interviews and physical observations against five qualitative graded levels of advancement, each with detailed descriptions or indicators to transparently guide the process.","Zoonotic Disease,Food Safety","""4.1 Review and assess surveillance capacity in each sector and any existing coordination or data sharing mechanism between
the relevant sectors."",""4.1 Jointly define and prioritize zoonotic diseases of greatest national public health concern for the country through a One
Health approach that involves all relevant stakeholders."",""4.2 Review and assess existing multisectoral policy, strategy, plan and/or mechanism for responding to priority zoonotic events."",""4.2 Develop a multisectoral One Health operational plan, with the provision of resources, for a coordinated response to an
outbreak of at least two priority zoonotic diseases by all relevant sectors."",4.2 Monitor and evaluate the multisectoral coordination mechanism for cresponse regularly.,""5.2 Review the mechanism, if it exists, for the response and management of food safety emergencies to identify and assess
gaps and needs, with reference to relevant Food and Agriculture Organization (FAO)/WHO guidelines."",5.2 Identify key government agencies involved in the response and management of food safety emergencies.,""5.2 Document and disseminate the findings in terms of timeliness, information exchange, public health risk messaging,
efficiency and effectiveness of response, collaboration and communication.""",Tool,OIE,2019,checked,,All,checked,
Kayode Fasominu,I9143EN.pdf (https://dl.airtable.com/.attachments/f61ec748993dde6d3692e2dc525b2bd0/3beeb2af/I9143EN.pdf),FAO Surveillance Evaluation Tool (SET),"SET is a tool developed by FAO that supports the comprehensive and comparative assessment of a country's surveillance system for animal diseases, including zoonoses. The objectives of SET evaluations are to (i) Evaluate a country's animal disease surveillance system to support the development of a locally-relevant action plan for improvement; and (ii) Use a standardized and reproducible tool to monitor progress of the system over time.",Zoonotic Disease,"""4.1 Review and assess surveillance capacity in each sector and any existing coordination or data sharing mechanism between
the relevant sectors."",""4.1 Jointly define and prioritize zoonotic diseases of greatest national public health concern for the country through a One
Health approach that involves all relevant stakeholders.""",Tool,FAO,2018,checked,,All,checked,
Kayode Fasominu,ewho-jra-veng.pdf (https://dl.airtable.com/.attachments/a87bef776a63b06606d214e636c87fc0/c44f005f/ewho-jra-veng.pdf),Tripartite Joint Risk Assessment (JRA) tool,This tool supports national human and animal health sectors to jointly assess health risks from zoonotic disease. It supports decision-makers to build and implement science-based risk management measures and communication messages aligned between sectors or implemented jointly.,Zoonotic Disease,"""4.1 Review and assess surveillance capacity in each sector and any existing coordination or data sharing mechanism between
the relevant sectors."",""4.1 Jointly define and prioritize zoonotic diseases of greatest national public health concern for the country through a One
Health approach that involves all relevant stakeholders.""",Tool,"FAO, OIE, World Health Organization",2020,checked,,All,checked,
Kayode Fasominu,WHO learning portal.docx (https://dl.airtable.com/.attachments/889e240fab3e76549300bc70e7a9bb86/03c61d84/WHOlearningportal.docx),WHO One Health online course (90min),"This course is free and geared to professionals from human, animal or environmental health sectors involved in the implementation of the International Health Regulations (2005).
Objectives are to (i) Describe the One Health approach and principles of multisectoral collaboration; (ii) Provide examples of how a One Health approach may be taken to address a health threat or disease event; and (iii) Explain how a One Health approach contributes to a functional national health system, including national IHR implementation, evaluation, and capacity building.","""IHR Coordination, Communication and Advocacy, and Reporting"",Zoonotic Disease","""2.2 Update or review the coordination mechanism to address zoonoses and other existing or new health events at
the human�animal interface."",""4.1 Train responsible staff for specific aspects of the surveillance and management of priority zoonotic diseases at national and
subnational levels."",""4.1 Train additional staff across all relevant sectors in the surveillance and management of zoonotic diseases at subnational
levels."",""4.2 Train staff of human, animal (domestic animals and wildlife), and environmental health sectors on these guidelines, SOPs
and operation plan.""",Training Package,World Health Organization,NA,checked,,All,checked,
Kayode Fasominu,WHO learnimg portal_IHR implementation at animal human interface.docx (https://dl.airtable.com/.attachments/9fbf3891712f3cbbbc1e24ba0c478169/890e1da9/WHOlearnimgportal_IHRimplementationatanimalhumaninterface.docx),WHO One Health training tool-kit (33 hours),"This tool-kit of 10 items (6 learning activities and 4 case studies) aims to provide a basic understanding on both the legislative and technical components of the human-animal-environment health interface to help participants identify how they relate to the IHR and supports their effective implementation. Includes also a Reading list and a facilitator’s guide. The target audience is academia, NGO or development agencies who wish to conduct training on the One Health approach in the framework of the IHR.","""IHR Coordination, Communication and Advocacy, and Reporting"",Zoonotic Disease","""4.1 Train responsible staff for specific aspects of the surveillance and management of priority zoonotic diseases at national and
subnational levels."",""4.1 Train additional staff across all relevant sectors in the surveillance and management of zoonotic diseases at subnational
levels."",""4.2 Train staff of human, animal (domestic animals and wildlife), and environmental health sectors on these guidelines, SOPs
and operation plan.""",Training Package,World Health Organization,NA,checked,,All,checked,
Kayode Fasominu,WHO training_Youtube_One Health discussion in RRT knowledge network.docx (https://dl.airtable.com/.attachments/0c0ffb7c99483e72409ccbf238e0e938/87288d71/WHOtraining_Youtube_OneHealthdiscussioninRRTknowledgenetwork.docx),WHO One Health discussion in RRT knowledge network,This video collection will guide the participants in integrating a One Health approach in the work of the Rapid Response Teams.,"""IHR Coordination, Communication and Advocacy, and Reporting"",Zoonotic Disease","""4.1 Train responsible staff for specific aspects of the surveillance and management of priority zoonotic diseases at national and
subnational levels."",""4.1 Train additional staff across all relevant sectors in the surveillance and management of zoonotic diseases at subnational
levels."",""4.2 Train staff of human, animal (domestic animals and wildlife), and environmental health sectors on these guidelines, SOPs
and operation plan.""",Training Package,World Health Organization,2018,checked,,All,checked,
Kayode Fasominu,9789241515122-eng.pdf (https://dl.airtable.com/.attachments/dd17e9e1bf6f3205289489370378571a/58ee9b09/9789241515122-eng.pdf),"A Guide for Establishing, Operating and Evaluating an Emergency Operations Centre","This guide is based on an all-hazards approach and is intended to guide the efforts of community leaders, institutional policy makers, health services providers, emergency planners and managers, and others who are responsible for the management of the health-related consequences of emergency events.",Emergency Response Operations,"12.2 Establish a functioning health EOC with the capacity to coordinate emergency operations in the event of an emergency.,""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use."",""12.2 Develop an EOC implementation plan that includes both the planning and development of the EOC (as outlined in public
health emergency operations centre network framework) and the costing, funding and sustainability of the EOC."",12.2 Develop an EOC activation plan that includes scaled level of response with resource requirements at each level.,""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff.""",Guideline,World Health Organization,2006,checked,,"All, Chapter 5, Chapter 4, Chapter 2, Chapter 4, All",checked,
Kayode Fasominu,WHO_HSE_GCR_2014_1_eng.pdf (https://dl.airtable.com/.attachments/e658a94b7b1ba82fe92155e85846aa91/764477f3/WHO_HSE_GCR_2014_1_eng.pdf),A systematic review of public health emergency operations centres (‎EOC)‎,This literature review examines the peer-reviewed and grey literature in order to document global best practices for effective public health emergency response by EOCs; to identify indicators to monitor EOC performance; to describe risk communication in EOC settings; to outline research needs; and to identify standardized terminology.,Emergency Response Operations,"""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff."",""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics.""",Case Study,World Health Organization,2013,checked,,"pg. 30-32, All, pg. 35-36",checked,
Kayode Fasominu,1-s2_0-S1995764515000838-main.pdf (https://dl.airtable.com/.attachments/e60bbaec34f4b020aa2f928961d6ac14/a8fa2c51/1-s2_0-S1995764515000838-main.pdf),Analysis of good practice of public health Emergency Operations Centers,"This literature review focuses on public health emergency operations centers in the United States, the European Union, the United Kingdom, and Australia, with the intent of summarizing good practice for the improvement of other EOCs.",Emergency Response Operations,12.2 Establish a functioning health EOC with the capacity to coordinate emergency operations in the event of an emergency.,Case Study,"Xu, Min; Li, Shi-Xue",2015,checked,,All,checked,
Kayode Fasominu,emergency-preparedness-what-every-health-care-worker-needs-to-know.pdf (https://dl.airtable.com/.attachments/6c06ca0ae1428062b9487a6f48607e6c/4f93af07/emergency-preparedness-what-every-health-care-worker-needs-to-know.pdf),Emergency preparedness: what every health care worker needs to know,This article reviews the basic concepts in emergency preparedness with an emphasis on integration into a health system.,Emergency Response Operations,"""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use.""",Case Study,"Christian, Michael D.; Kollek, Daniel; Schwartz, Brian",2005,checked,,All,checked,
Kayode Fasominu,9789241512299-eng.pdf (https://dl.airtable.com/.attachments/50f5fe38d6fc0a246c237cb8af622d58/e1b4e3a7/9789241512299-eng.pdf),Emergency Response Framework (ERF),"This document delineates the WHO’s roles , responsibilities, and approach for its work in emergencies.",Emergency Response Operations,"""12.1 Establish an incident management system for managing emergency response at the national level, including participation
of relevant sectors.""",Guideline,World Health Organization,2017,checked,,Chapter 3,checked,
Kayode Fasominu,9789241509398_eng.pdf (https://dl.airtable.com/.attachments/4e7841fb2214677c58c94b58f5d49838/90661f0b/9789241509398_eng.pdf),First consultation meeting on a framework for public health emergency operations centres,This report summarizes the discussions and agreements at a consultative meeting focusing on emergency operations centers.,Emergency Response Operations,"""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff."",""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics.""",Briefing Note,World Health Organization,2015,checked,,"Pg. 15-36, 25-28",checked,
Kayode Fasominu,9789241565134_eng.pdf (https://dl.airtable.com/.attachments/c7119368fef300cda55fde0160505a12/24fe8d20/9789241565134_eng.pdf),Framework for a Public Health Emergency Operations Centre,This document outlines the key concepts and essential requirements for developing and managing a public health emergency operations center.,Emergency Response Operations,"""12.1 Establish an incident management system for managing emergency response at the national level, including participation
of relevant sectors."",""12.1 Develop a training plan for emergency response staff, including on the incident management system, and implement it at
least at the national level."",""12.1 Conduct, at least every two years, an emergency response exercise or after-action review with a focus on coordination
between national and subnational levels."",""12.1 Evaluate, document and disseminate information on activations, and if done, include exercises to promote continuous
improvement in communication and coordination."",""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use."",""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics."",12.3 Develop and implement corrective action plans based on the exercises and after-action review findings at all levels.",Guideline,World Health Organization,2015,checked,,"Chapter 5 - Annex 2, Chapter 7, Chapter 7 - Annex 7&8, Chapter 8, Chapter 4, Chapter 7, Chapter 7&8 -  Annex 7&8 ",checked,
Kayode Fasominu,003335491212700306.pdf (https://dl.airtable.com/.attachments/575405aa0fc39d8684b126c58f72f4ae/841c8979/003335491212700306.pdf),From SARS to 2009 H1N1 Influenza: The Evolution of a Public Health Incident Management System at CDC,This article describes the U.S. CDC's challenges and solutions for including traditional public health response functions within the national incident management system.,Emergency Response Operations,"""12.1 Establish an incident management system for managing emergency response at the national level, including participation
of relevant sectors.""",Case Study,"Papagiotas, Stephen S.; Frank, Mark; Bruce, Sherrie; Posid, Joseph M.",2012,checked,,All,checked,
Kayode Fasominu,9789241515122-eng.pdf (https://dl.airtable.com/.attachments/131ad0feb58980ca76146c2a9a8b23d4/5cd5ce00/9789241515122-eng.pdf),"Handbook for Developing a Public Health Emergency Operations Centre Part A: Policies, Plans and Procedures","This document provides detailed guidance for developing and implementing policies, plans and procedures for the WHO’s framework for a public health emergency operations center.",Emergency Response   Operations,"12.2 Establish a functioning health EOC with the capacity to coordinate emergency operations in the event of an emergency.,""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use."",""12.2 Develop an EOC implementation plan that includes both the planning and development of the EOC (as outlined in public
health emergency operations centre network framework) and the costing, funding and sustainability of the EOC."",""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff.""",Guideline,World Health Organization,2018,checked,,"pg. 19, All, pg. 9-11, All, All",checked,
Kayode Fasominu,9789241515139-eng.pdf (https://dl.airtable.com/.attachments/9a661430e0f735d0aba05799f8f08a62/50cccaa7/9789241515139-eng.pdf),Handbook for Developing a Public Health Emergency Operations Centre Part C: Training and Exercises,This document provides detailed guidance for developing and implementing trainings and exercises for the WHO’s framework for a public health emergency operations center.,Emergency Response Operations,"""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics."",""12.2 Conduct a simulated exercise or demonstrate in response to a real event that the national EOC can be activated within
120 minutes of receiving an early warning or information of an emergency requiring EOC activation.""",Guideline,World Health Organization,2018,checked,,"All, All",checked,
Kayode Fasominu,OpenWHO_IMS.docx (https://dl.airtable.com/.attachments/5d54fbd45b95a03c8c106826540d7fe3/dab358c8/OpenWHO_IMS.docx),Incident Management System (Tiers 1 and 2),"This 3-hour training seeks to provide individuals with a foundational understanding of the World Health
Organization’s Incident Management System (IMS) structure and its procedures.",Emergency Response Operations,"""12.1 Establish an incident management system for managing emergency response at the national level, including participation
of relevant sectors.""",Training Package,World Health Organization,NA,checked,,NA,checked,
Kayode Fasominu,Book_Fagel_Michael J.docx (https://dl.airtable.com/.attachments/e4de437d77c4568b55d0b3c7e5b010d3/e117ac03/Book_Fagel_MichaelJ.docx),Principles of emergency management and emergency operations centers (EOC),This book is based on more than four decades of experience and provides a clear and up-to-date understanding of how an EOC should operate within the guidance of various federal and national programs.,Emergency Response Operations,"""12.2 Form a steering committee or other management structure to develop objectives, essential functions and core components;
oversee the EOC and monitor and evaluate its use."",""12.2 Conduct a simulated exercise or demonstrate in response to a real event that the national EOC can be activated within
120 minutes of receiving an early warning or information of an emergency requiring EOC activation.""",Case Study,"Fagel, Michael J",2011,checked,,"pg. 57-63, pg. 281-299, 163-281",checked,
Kayode Fasominu,8332-Article Text-54987-1-10-20160831.pdf (https://dl.airtable.com/.attachments/07ae8d9d85d935f0b805cdee3e42b2f3/607305ac/8332-ArticleText-54987-1-10-20160831.pdf),Public Health Emergency Operations Center - A critical component of mass gatherings management infrastructure,"This article outlines the essential concepts, elements, design, and operational aspects of public health emergency operations centers during mass gathering events.",Emergency Response Operations,"""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff.""",Case Study,"Elachola, Habidah; Al-Tawfiq, Jaffar A; Turkestani, Abdulhafiz; Memish, Ziad A",2016,checked,,pg. 3-5,checked,
Kayode Fasominu,9789241509787_eng.pdf (https://dl.airtable.com/.attachments/8d93b4c49f0efeab8ffee9086b6864c2/d71633e2/9789241509787_eng.pdf),Summary report of systematic reviews for public health emergency operations centres,"This WHO report summarized the methodology, results and conclusions of four systematic reviews conducted on EOCS.",Emergency Response Operations,"""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff."",""12.2 Develop and implement a training programme for national EOC staff including management, communications, finance and logistics.""",Case Study,World Health Organization,2015,checked,,All,checked,
Kayode Fasominu,17-0435.pdf (https://dl.airtable.com/.attachments/bf92c367cea0bafa7e7fa9da79e0c416/2e26ad39/17-0435.pdf),Sustainable Model for Public Health Emergency Operations Centers for Global Settings,This article presents two case studies to examine how to develop sustainable models for public health emergency operation centers.,Emergency Response Operations,"""12.2 Establish a functional national EOC that includes dedicated plan and procedures, a secure physical space, an information and
communication technology infrastructure for information management and support of emergency operations, and trained staff.""",Case Study,"Balajee SA, Pasi OG, Etoundi AGM, et al.",2017,checked,,All,checked,
